01100;Almirante
01100;Almirante de la armada nacional
01100;Brigadier general
01100;Brigadier general de infantería de marina
01100;Brigadier general del ejercito nacional
01100;Brigadier general fuerza aérea
01100;Cadete de la fuerza aérea
01100;Cadete de las fuerzas armadas
01100;Cadete del ejercito nacional
01100;Capitán de corbeta de la armada nacional
01100;Capitán de fragata de la armada nacional
01100;Capitán de infantería de marina
01100;Capitán de la fuerza aérea
01100;Capitán de navío de la armada nacional
01100;Capitán del ejército nacional
01100;Comandante armada
01100;Comandante base armada
01100;Comandante batallón ejército
01100;Comandante brigada armada
01100;Comandante brigada ejército
01100;Comandante ejército
01100;Comandante fuerza aérea
01100;Comandante unidad ejército
01100;Comandante unidad fuerza aérea
01100;Contralmirante
01100;Contralmirante de la armada nacional
01100;Coronel de infantería de marina
01100;Coronel del ejército nacional
01100;Coronel fuerza aérea
01100;General de infantería de marina
01100;General del ejército nacional
01100;General fuerza aérea
01100;Guardiamarina
01100;Mayor
01100;Mayor de infantería de marina
01100;Mayor de la fuerza aérea
01100;Mayor del ejército nacional
01100;Mayor general
01100;Mayor general de infantería de marina
01100;Mayor general del ejército nacional
01100;Mayor general fuerza aérea
01100;Oficial de la armada nacional
01100;Oficial del ejército nacional
01100;Oficial fuerza aérea
01100;Oficial fuerzas militares
01100;Segundo comandante ejército nacional
01100;Segundo comandante fuerza aérea colombiana
01100;Subcomandante armada nacional
01100;Subteniente de infantería de marina
01100;Subteniente del ejército nacional
01100;Subteniente fuerza aérea
01100;Teniente coronel de infantería de marina
01100;Teniente coronel de la fuerza aérea
01100;Teniente coronel del ejército nacional
01100;Teniente de corbeta de la armada nacional
01100;Teniente de fragata de la armada nacional
01100;Teniente de infantería de marina
01100;Teniente de navío de la armada nacional
01100;Teniente del ejército nacional
01100;Teniente fuerza aérea
01100;Vicealmirante
01100;Vicealmirante de la armada nacional
02100;Aerotécnico de la fuerza aérea
02100;Cabo primero de infantería de marina
02100;Cabo primero del ejército nacional
02100;Cabo segundo de infantería de marina
02100;Cabo segundo del ejército nacional
02100;Cabo tercero de infantería de marina
02100;Cabo tercero del ejército nacional
02100;Contramaestre de marina
02100;Contramaestre militar
02100;Marinero de la armada
02100;Marinero primero de la armada nacional
02100;Marinero segundo de la armada nacional
02100;Sargento del ejército
02100;Sargento mayor de comando conjunto de infantería de marina
02100;Sargento mayor de comando conjunto del ejército nacional
02100;Sargento mayor de comando de infantería de marina
02100;Sargento mayor de comando del ejército
02100;Sargento mayor de infantería de marina
02100;Sargento mayor del ejército nacional
02100;Sargento primero de infantería de marina
02100;Sargento primero del ejército nacional
02100;Sargento segundo de infantería de marina
02100;Sargento segundo del ejército nacional
02100;Sargento viceprimero del ejército nacional
02100;Suboficial de la armada
02100;Suboficial de la fuerza aérea
02100;Suboficial de las fuerzas militares
02100;Suboficial del ejército
02100;Suboficial jefe de la armada nacional
02100;Suboficial jefe técnico de comando conjunto de la armada nacional
02100;Suboficial jefe técnico de comando de la armada nacional
02100;Suboficial jefe técnico de la armada nacional
02100;Suboficial primero de la armada nacional
02100;Suboficial segundo de la armada nacional
02100;Suboficial tercero de la armada nacional
02100;Técnico cuarto de la fuerza aérea
02100;Técnico jefe de comando conjunto de la fuerza aérea
02100;Técnico jefe de comando de las fuerzas armadas
02100;Técnico jefe de la fuerza aérea
02100;Técnico primero de la fuerza aérea
02100;Técnico segundo de la fuerza aérea
02100;Técnico subjefe de la fuerza aérea
02100;Técnico tercero de la fuerza aérea
03100;Alumno de infantería de marina
03100;Artillero
03100;Bombardero
03100;Dragoneante
03100;Grumete
03100;Grumete infantería de marina
