codigo_cuoc_2022;denominacion_cuoc_2022
11120.003;Agregado diplomático
11120.004;Alguacil jefe de policía
11120.005;Alto comisionado
11120.006;Brigadier general policía nacional
11120.007;Comisionado de bomberos
11120.008;Comisionado de la función pública
11120.009;Consejero de estado
11120.010;Cónsul
11120.011;Contador general de la nación
11120.012;Contralor general de la nación
11120.013;Contralor general de la república
11120.014;Director aduana servicios gubernamentales
11120.015;Director de asuntos intergubernamentales
11120.016;Director de departamento administrativo nacional
11120.017;Director de impuestos nacionales
11120.018;Director de programas de desarrollo económico de servicios gubernamentales
11120.019;Director de programas de política educativa de servicios gubernamentales
11120.020;Director de relaciones intergubernamentales
11120.021;Director ejecutivo administración pública ministerio
11120.022;Director ejecutivo administración pública regional
11120.023;Director ejecutivo de administración pública
11120.024;Director ejecutivo de cancillería
11120.025;Director ejecutivo de servicios gubernamentales
11120.026;Director general de administración pública
11120.027;Director general de departamento gubernamental
11120.028;Director general de impuestos y aduanas
11120.029;Director general de organización intergubernamental
11120.030;Director general de servicios gubernamentales
11120.031;Director general impuestos
11120.032;Director políticas y programas administración pública
11120.033;Director unidad administrativa especial
11120.034;Director unidad nacional de bomberos
11120.035;Embajador
11120.036;Fiscal general de la nación
11120.037;Gerente general de servicios gubernamentales
11120.038;Inspector general de la policía
11120.039;Jefe departamento administración pública
11120.040;Mayor general policía nacional
11120.041;Personal directivo de la administración pública
11120.042;Personero
11120.043;Procurador general de la nación
11120.044;Registrador nacional del estado civil
11120.045;Secretario de estado
11120.046;Secretario general de administración pública
11120.047;Subsecretario de gobierno
11120.048;Superintendente nacional
11120.049;Tesorero general de la nación
11120.050;Tesorero general de la república
11120.051;Vicecontralor
1113;Jefes de comunidades étnicas
11130;Jefes de comunidades étnicas
11130.001;Gobernador de comunidad indígena
11130.002;Jefe de comunidad indígena
11130.003;Jefe de etnia indígena
11130.004;Jefe de pueblo
11130.005;Jefe tradicional de pequeña población
1114;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
11140;Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)
11140.001;Defensor del pueblo
11140.002;Director asociación de profesionales
11140.003;Director asociación deportiva
11140.004;Director de establecimiento adaptación social
11140.005;Director de organización electoral
11140.006;Director de organización no gubernamental
11140.007;Director de partido político
11140.008;Director ejecutivo asociación de profesionales
11140.009;Director ejecutivo de organización de membrecía
11140.010;Director ejecutivo de organización no gubernamental
11140.011;Director ejecutivo de organización voluntariado
11140.013;Director general de asociación deportiva
11140.014;Director general de organización de empleadores
11140.015;Director general de organización de membrecía
11140.016;Director general de organización humanitaria
11140.017;Director general de organización política
11140.018;Director general organización de membresía
11140.019;Dirigente de organización de empleadores
11140.020;Dirigente de organización humanitaria
11140.021;Dirigente de organización sindical
11140.022;Dirigente de partido político
11140.023;Líder de partido político
11140.024;Presidente club deportivo
11140.025;Presidente de asociación científica
11140.026;Presidente de asociación deportiva
11140.027;Presidente de club deportivo profesional
11140.028;Presidente de comité de derechos humanos
11140.029;Presidente de organización gremial
11140.030;Presidente de organización humanitaria
11140.031;Presidente de organización sindical
11140.032;Presidente de partido político
11140.033;Presidente de sindicato
11140.034;Secretario general de organización de derechos humanos
11140.035;Secretario general de organización de empleadores
11140.036;Secretario general de organización de protección del medio ambiente
11140.037;Secretario general de organización humanitaria
11140.038;Secretario general de organización sindical
11140.039;Secretario general de partido político
112;Directores y gerentes generales
1120;Directores y gerentes generales
11200;Directores y gerentes generales
11200.001;Administrador general de acueducto
11200.002;Administrador general de aeropuerto
11200.003;Administrador general de oficina de aduana
11200.004;Administrador general de oficina de impuestos
11200.005;Comandante de estación de bomberos
11200.006;Delegado regional de bomberos
11200.007;Director de regional
11200.008;Director ejecutivo empresas de comercios medios de comunicación
11200.009;Director ejecutivo entidades financieras de telecomunicaciones
11200.010;Director general
11200.011;Director general comercio medios de comunicación
11200.012;Director general de clínica
11200.013;Director general de empresa
11200.014;Director general de empresa de comercio
11200.015;Director general de empresa de telecomunicaciones
11200.016;Director general de entidad financiera
11200.017;Director general de entidad promotora de salud
11200.018;Director general de hospital
11200.019;Director general de institución de servicios salud
11200.020;Director general de institución educativa
11200.021;Director general de organización de salud
11200.022;Director general de organización de servicio social
11200.023;Director general empresas manufactureras de construcción y transporte
11200.024;Director general entidades financieras de telecomunicaciones
11200.025;Director general industria manufacturera
11200.026;Director general institución correccional
11200.027;Director general institución penitenciaria
11200.028;Director general ventas empresas de comercio medios de comunicación
11200.029;Director general ventas empresas manufactureras de construcción y transporte
11200.030;Gerente general
11200.031;Gerente general cadena de almacenes
11200.032;Gerente general compañía minera
11200.033;Gerente general de almacenes de cadena
11200.034;Gerente general de cadena hotelera
11200.035;Gerente general de cadena radial
11200.036;Gerente general de cadena restaurantes
11200.037;Gerente general de compañía constructora
11200.038;Gerente general de compañía de seguros
11200.039;Gerente general de compañía de servicios de informática
11200.040;Gerente general de compañía de viajes y turismo
11200.041;Gerente general de compañía fiduciaria
11200.042;Gerente general de empresa de agroindustrial
11200.043;Gerente general de empresa de comercio
11200.044;Gerente general de empresa de construcción
11200.045;Gerente general de empresa de metalmecánica
11200.046;Gerente general de empresa de servicios de salud
11200.047;Gerente general de empresa de servicios informáticos
11200.048;Gerente general de empresa de telecomunicaciones
11200.049;Gerente general de empresa de teléfonos
11200.050;Gerente general de empresa de transporte
11200.051;Gerente general de entidad financiera
11200.052;Gerente general de entidad hospitalaria
11200.053;Gerente general de entidad promotora salud
11200.054;Gerente general de industria manufacturera
11200.055;Gerente general de servicios financieros y de telecomunicaciones
11200.056;Gerente general de tienda por departamentos
11200.057;Gerente general de ventas en empresas de comercio medios de comunicación
11200.058;Gerente general editorial
11200.059;Gerente general empresa de acueducto
11200.060;Gerente general empresa de distribución de gas
11200.061;Gerente general empresa de energía
11200.062;Gerente general empresa de servicio público
11200.063;Gerente general empresa pesquera
11200.064;Gerente general empresas de comercio medios de comunicación
11200.065;Gerente general empresas manufactureras de construcción y transporte
11200.066;Gerente general entidades financieras de telecomunicaciones
11200.067;Gerente general hotel
11200.068;Gerente general organización hotelera
11200.069;Gerente general producción de bienes servicios públicos transporte y construcción
11200.070;Gerente regional
11200.071;Presidente de banco
11200.072;Presidente de compañía constructora
11200.073;Presidente de compañía de seguros
11200.074;Presidente de empresa
11200.075;Presidente de empresa de radio y televisión
11200.076;Presidente de empresa de telecomunicaciones
11200.077;Presidente de empresa de transporte
11200.078;Presidente de empresa manufacturera
11200.079;Presidente de entidad financiera
11200.080;Presidente de medios de comunicación
11200.081;Presidente empresa de comercio
11200.082;Presidente empresas de comercio medios de comunicación
11200.083;Presidente empresas manufactureras de construcción y transporte
11200.084;Presidente entidades financieras de telecomunicaciones
11200.085;Rector de universidad
11200.086;Vicepresidente banca corporativa
11200.087;Vicepresidente de cadena de hoteles
11200.088;Vicepresidente de compañía aérea
11200.089;Vicepresidente de compañía constructora
11200.090;Vicepresidente de compañía petrolera
11200.091;Vicepresidente de empresa de radio y televisión
11200.092;Vicepresidente de empresa de telecomunicaciones
11200.093;Vicepresidente de empresa de transporte
11200.094;Vicepresidente de empresa manufacturera
11200.095;Vicepresidente de entidad de salud
11200.096;Vicepresidente de operaciones empresas manufactureras de construcción y transporte
11200.097;Vicepresidente de producción empresas manufactureras de construcción y transporte
11200.098;Vicepresidente de recursos humanos entidades de salud educación y organizaciones de membresía
11200.099;Vicepresidente empresa de comercio
11200.100;Vicepresidente empresas de comercio medios de comunicación
11200.101;Vicepresidente empresas manufactureras de construcción y transporte
11200.102;Vicepresidente entidades financieras de telecomunicaciones
11200.103;Vicepresidente financiero y administrativo entidades de salud educación y organizaciones de membresía
11200.104;Vicepresidente general administrativo de empresa
11200.105;Vicerrector académico de universidad
12;DIRECTORES ADMINISTRATIVOS Y COMERCIALES
121;Directores de administración y servicios
1211;Directores y gerentes de servicios financieros
12111;Directores y gerentes financieros
12111.001;Director administrativo y financiero
12111.002;Director de departamento de contabilidad
12111.003;Director de departamento de financiero
12111.004;Director de departamento de finanzas
12111.005;Director de finanzas
12111.006;Director de fondos y pagos
12111.007;Director de planeación financiera
12111.008;Director de presupuesto y contabilidad
12111.009;Director departamento de auditoría y control financiero
12111.010;Director financiero
12111.011;Director general de contabilidad
12111.012;Director presupuesto
12111.013;Gerente administrativo y financiero
12111.014;Gerente de control financiero
12111.015;Gerente de departamento financiero
12111.016;Gerente de firma de auditoría financiera
12111.017;Gerente de firma de contadores
12111.018;Gerente de operaciones de servicios estadísticos financieros
12111.019;Gerente financiero
12111.020;Gerente servicios de investigación de mercados financieros
12111.021;Gerente servicios de nómina
12111.022;Jefe contabilidad
12111.023;Jefe control interno financiero
12111.024;Jefe de control financiero
12111.025;Jefe de costos y presupuesto
12111.026;Jefe de departamento de auditoria financiera
12111.027;Jefe de departamento de cartera
12111.028;Jefe de departamento de contabilidad
12111.029;Jefe de departamento de costos
12111.030;Jefe de departamento de financiero
12111.031;Jefe de departamento de presupuesto
12111.032;Jefe de departamento de tesorería
12111.033;Jefe de departamento de tesorería y cartera
12111.034;Jefe de entidades financieras
12111.035;Jefe de operaciones de investigación de mercados financieros
12111.036;Jefe de tesorería
12111.037;Jefe financiero
12111.038;Jefe tesorería y cartera
12111.039;Secretario general financiero de empresa
12111.040;Subgerente administrativo y financiero
12111.041;Subgerente financiero
12111.042;Tesorero
12111.043;Tesorero general de la empresa
12111.044;Tesorero municipal
12111.045;Tesorero pagador
12111.046;Vicepresidente financiero y administrativo empresas de comercio medios de comunicación
12111.047;Vicepresidente financiero y administrativo empresas manufactureras de construcción y transporte
12111.048;Vicepresidente financiero y administrativo entidades financieras de telecomunicaciones
12111.049;Vicepresidente financiero y jurídico
12112;Directores y gerentes de seguros, bienes raíces y corretaje financiero
12112.001;Gerente bienes raíces
12112.002;Gerente corretaje financiero
12112.003;Gerente de departamento de corretaje financiero
12112.004;Gerente de empresa de servicios de intermediación financiera
12112.005;Gerente de operaciones de propiedad raíz
12112.006;Gerente de operaciones de seguros
12112.007;Gerente departamento actuarial
12112.008;Gerente propiedad raíz
12112.009;Gerente seguros
12112.010;Gerente seguros bienes raíces y corretaje financiero
12112.011;Gerente seguros de vida
12112.012;Jefe de departamento de seguros y finanzas
12112.013;Jefe seguros y finanzas
12113;Directores y gerentes de banca, crédito e inversiones
12113.001;Administrador portafolio de inversiones
12113.002;Director de departamento de crédito
12113.003;Director de departamento de operaciones servicios tarjeta crédito
12113.004;Director de operaciones bancarias
12113.005;Director servicios tarjeta de crédito
12113.006;Gerente banca crédito e inversiones
12113.007;Gerente comercial banca empresarial
12113.008;Gerente corporación financiera
12113.009;Gerente crédito
12113.010;Gerente cuenta banca
12113.011;Gerente de crédito hipotecario
12113.012;Gerente de operaciones de banca
12113.013;Gerente de operaciones de servicios de investigación de mercados
12113.014;Gerente inversión bancaria
12113.015;Gerente inversión fiduciaria
12113.016;Gerente servicio al cliente institución financiera
12113.017;Jefe crédito y cartera
12113.018;Jefe de departamento de crédito
12113.019;Jefe de departamento de crédito y cartera
12113.020;Jefe de departamento de portafolio de inversiones financiera
12113.021;Jefe de sección de fiduciaria
12113.022;Jefe servicio al cliente institución financiera
12113.023;Subgerente comercial de banca personal
12113.024;Vicepresidente administrativo banca
12113.025;Vicepresidente comercial entidades financieras
12113.026;Vicepresidente de mercadeo entidades financieras de telecomunicaciones
12113.027;Vicepresidente de operaciones de banca
12113.028;Vicepresidente de operaciones entidades financieras de telecomunicaciones
12113.029;Vicepresidente de producción entidades financieras de telecomunicaciones
1212;Directores y gerentes de recursos humanos
12120;Directores y gerentes de gestión de talento humano
12120.001;Director de contratación
12120.002;Director de departamento de desarrollo de personal
12120.003;Director de departamento de gestión humana
12120.004;Director de departamento de seguridad industrial
12120.005;Director de departamento de selección personal
12120.006;Director de personal
12120.007;Director de recursos humanos
12120.008;Director de relaciones industriales
12120.009;Director de relaciones laborales
12120.010;Director desarrollo de personal
12120.011;Director en talento humano
12120.012;Director seguridad industrial
12120.013;Gerente de gestión humana
12120.014;Gerente de recursos humanos
12120.015;Gerente de relaciones industriales
12120.016;Gerente de talento humano
12120.017;Gerente HSEQ (salud, seguridad, medio ambiente y calidad)
12120.018;Jefe bienestar social
12120.019;Jefe de admisiones y registro de personal
12120.020;Jefe de bienestar recursos humanos
12120.021;Jefe de capacitación
12120.022;Jefe de compensación y beneficios
12120.023;Jefe de departamento de bienestar social
12120.024;Jefe de departamento de capacitación
12120.025;Jefe de departamento de capacitación y desarrollo personal
12120.026;Jefe de departamento de personal
12120.027;Jefe de departamento de recursos humanos
12120.028;Jefe de departamento de relaciones industriales
12120.029;Jefe de departamento de relaciones laborales
12120.030;Jefe de departamento de salud ocupacional
12120.031;Jefe de departamento de selección personal
12120.032;Jefe de desarrollo organizacional
12120.033;Jefe de evaluación
12120.034;Jefe de gestión humana
12120.035;Jefe de personal
12120.036;Jefe de recursos humanos
12120.037;Jefe de relaciones industriales
12120.038;Jefe de salud y seguridad ocupacional
12120.039;Jefe de selección
12120.040;Jefe de talento humano
12120.041;Jefe en prevención de riesgos laborales
12120.042;Jefe HSEQ (salud, seguridad, medio ambiente y calidad)
12120.043;Jefe oficina de personal
12120.044;Jefe relaciones laborales
12120.045;Jefe unidad de personal
12120.046;Subgerente de gestión humana
12120.047;Vicepresidente de departamento de recursos humanos
12120.048;Vicepresidente de departamento gestión humana
12120.049;Vicepresidente de recursos humanos
12120.050;Vicepresidente de talento humano
12120.051;Vicepresidente gestión humana
12120.052;Director de innovación organizacional
12120.053;Director de transformación organizacional
12120.054;Gerente de innovación organizacional
12120.055;Gerente de transformación organizacional
1213;Directores y gerentes de políticas y planeación
12130;Directores y gerentes de políticas y planeación
12130.001;Coordinador de política de gobierno
12130.002;Director análisis de política económica
12130.003;Director de planeación empresarial
12130.004;Director de planeación estratégica
12130.005;Director de planeación social
12130.006;Director de política pública
12130.007;Director de política y planeación
12130.008;Director políticas de impuestos
12130.009;Gerente de desarrollo de políticas
12130.010;Gerente programas de política de desarrollo económico
1219;Directores y gerentes de administración y servicios no clasificados en otros grupos primarios
12191;Directores y gerentes de limpieza y mantenimiento
12191.001;Director de departamento de limpieza
12191.002;Director de servicios de limpieza
12191.003;Gerente mantenimiento
12191.004;Jefe de mantenimiento e infraestructura
12191.005;Jefe de mantenimiento locativo
12191.006;Jefe departamento mantenimiento industrial
12191.007;Jefe mantenimiento
12191.008;Jefe servicios de apoyo mantenimiento
12191.009;Director control calidad mantenimiento aeronáutico
12191.010;Director de aseguramiento de la calidad de mantenimiento
12191.011;Director de mantenimiento aeronáutico
12191.012;Gerente de mantenimiento aeronáutico
12199;Directores y gerentes de administración y servicios no clasificados en otras ocupaciones
12199.001;Administrador de empresa
12199.002;Director administrativo
12199.003;Director ambiental
12199.004;Director de gestión ambiental
12199.005;Director de servicios a empresas
12199.006;Director de servicios administrativos
12199.007;Director de servicios corporativos
12199.008;Director departamento administrativo
12199.009;Director departamento de seguridad
12199.010;Gerente administrativo
12199.011;Gerente ambiental
12199.012;Gerente de otros servicios administrativos
12199.013;Gerente servicios administrativos
12199.014;Jefe administrativo
12199.015;Jefe admisiones y registro
12199.016;Jefe departamento seguridad
12199.017;Jefe servicios administrativos
12199.018;Subdirector administrativo
12199.019;Subgerente administrativo
12199.020;Director de seguridad operacional aeronáutica
122;Directores de ventas, comercialización y desarrollo
1221;Directores y gerentes de ventas y comercialización
12211;Directores y gerentes de ventas y mercadeo
12211.001;Director comercial
12211.002;Director comercial ventas
12211.003;Director comercialización
12211.004;Director de departamento comercial
12211.005;Director de departamento de desarrollo comercial
12211.006;Director de departamento de marketing
12211.007;Director de departamento de servicios investigación mercados
12211.008;Director de departamento de ventas y mercadeo
12211.009;Director de mercadeo
12211.010;Director de telemercadeo
12211.011;Director de ventas
12211.012;Director desarrollo comercial
12211.013;Director mercadeo y ventas
12211.014;Director servicios de investigación mercados
12211.015;Gerente comercial
12211.016;Gerente comercial ventas
12211.017;Gerente de mercadeo
12211.018;Gerente de telemercadeo
12211.019;Gerente de ventas
12211.020;Gerente mercadeo y ventas
12211.021;Gerente nacional de ventas
12211.022;Gerente regional de ventas
12211.023;Gerente ventas mercadeo y publicidad
12211.024;Jefe de departamento de comercialización
12211.025;Jefe de departamento de comercio
12211.026;Jefe de departamento de mercadeo
12211.027;Jefe de departamento de mercadeo y ventas
12211.028;Jefe de departamento de promoción y comercialización
12211.029;Jefe de sección de ventas de comercio al por mayor
12211.030;Jefe departamento comercio al por menor
12211.031;Jefe investigación de mercados
12211.032;Jefe mercadeo
12211.033;Jefe mercadeo y ventas
12211.034;Jefe promoción de ventas
12211.035;Subgerente de mercadeo
12211.036;Subgerente de operaciones de ventas
12211.037;Subgerente ventas
12211.038;Vicepresidente de departamento comercial
12211.039;Vicepresidente de departamento mercadeo
12211.040;Vicepresidente de mercadeo aerolínea
12211.041;Vicepresidente de mercadeo cadena de almacenes
12211.042;Vicepresidente de mercadeo cadena de hoteles
12211.048;Director comercial de servicios portuarios y marítimos
12212;Directores y gerentes de comercio exterior
12212.001;Administrador aduana
12212.002;Director comercio exterior
12212.003;Director de departamento de importaciones y exportaciones
12212.004;Director departamento internacional
12212.005;Director importaciones y exportaciones
12212.006;Gerente de departamento de comercio exterior
12212.007;Gerente de exportaciones
12212.008;Gerente de negocios internacionales
12212.009;Gerente de servicios de comercio exterior
12212.010;Jefe aduanas
12212.011;Jefe comercio exterior
12212.012;Jefe de departamento de comercio exterior
12212.013;Jefe de departamento de exportaciones
12212.014;Jefe de departamento de importaciones
12212.015;Jefe de operaciones aduaneras
12212.016;Jefe exportaciones
12212.017;Jefe importaciones
1222;Directores y gerentes de publicidad y relaciones públicas
12220;Directores y gerentes de publicidad y relaciones públicas
12220.001;Director comunicaciones y publicidad
12220.002;Director de departamento de publicidad
12220.003;Director de departamento de servicios publicitarios
12220.004;Director de relaciones públicas
12220.005;Director publicaciones
12220.006;Director publicidad
12220.007;Director relaciones públicas e información
12220.008;Director servicios publicitarios
12220.009;Gerente de marca
12220.010;Gerente de publicidad
12220.011;Gerente de servicio al cliente
12220.012;Gerente medios y publicidad
12220.013;Gerente producto
12220.014;Gerente promoción
12220.015;Gerente publicaciones
12220.016;Jefe de departamento de publicidad
12220.017;Jefe de departamento de relaciones públicas
12220.018;Jefe de sección de medios publicitarios
12220.019;Jefe de sección de servicio al cliente
12220.020;Jefe medios publicitarios
12220.021;Jefe publicaciones
12220.022;Jefe publicidad
12220.023;Jefe relaciones públicas
12220.024;Vocero oficial
1223;Directores y gerentes de ingeniería, investigación y desarrollo
12230;Directores y gerentes de ingeniería, investigación y desarrollo
12230.001;Director científico
12230.002;Director de consultoría científica
12230.003;Director de departamento de ingeniería
12230.004;Director de departamento de investigación
12230.005;Director de departamento de investigación y desarrollo
12230.006;Director de desarrollo de productos
12230.007;Director de ingeniería
12230.008;Director de innovación y diseño
12230.009;Director de investigación
12230.010;Director de investigación y fabricación
12230.011;Director departamento de sanidad vegetal
12230.012;Director investigación minería
12230.013;Director servicios de ingeniería
12230.014;Director técnico de industrias cosméticas
12230.015;Director técnico de industrias farmacéuticas
12230.016;Gerente de departamento de ingeniería y producción
12230.017;Gerente de departamento de investigación
12230.018;Gerente de departamento de investigación y desarrollo
12230.019;Gerente de diseño
12230.020;Gerente de ingeniería y proyectos
12230.021;Gerente de investigación de ingeniería
12230.022;Gerente de investigación en ingeniería y desarrollo
12230.023;Gerente de programas de investigación
12230.024;Gerente de proyectos y ensayos
12230.025;Gerente departamento ingeniería
12230.026;Gerente firma de ingeniería
12230.027;Gerente ingeniería
12230.028;Gerente ingeniería eléctrica
12230.029;Gerente ingeniería producción
12230.030;Gerente ingeniería telecomunicaciones
12230.031;Gerente investigación y desarrollo
12230.032;Gerente investigación y desarrollo en ciencias naturales y aplicadas
12230.033;Gerente programa de ciencias
12230.034;Gerente servicios de ingeniería
12230.035;Jefe de departamento de investigación
12230.036;Jefe de departamento de investigación y desarrollo
12230.037;Jefe de investigación y desarrollo farmacéutico
12230.038;Jefe de laboratorio de alimentos
12230.039;Jefe de laboratorio químico
12230.040;Jefe departamento ciencias
12230.041;Subdirector científico
12230.042;Subdirector de diseño
12230.043;Director de desarrollo e innovación
12230.044;Director de diseño y desarrollo aeronáutico
12230.045;Jefe de investigación, desarrollo e innovación de productos
13;DIRECTORES Y GERENTES EN SECTORES DE PRODUCCIÓN Y SERVICIOS
131;Directores de producción agropecuaria, silvicultura y pesca
1311;Directores y gerentes de producción agropecuaria y silvicultura
13110;Directores y gerentes de producción agropecuaria y silvicultura
13110.001;Administrador agroindustrial
13110.002;Administrador agropecuario
13110.003;Administrador de finca agropecuaria
13110.004;Administrador de granja
13110.005;Administrador de hacienda
13110.006;Administrador de hato ganadero
13110.007;Administrador de vivero
13110.008;Administrador finca
13110.009;Administrador general de aprovechamiento agrícola
13110.010;Administrador general de aprovechamiento pecuario
13110.011;Administrador general de plantación agrícola
13110.012;Administrador general explotación agrícola
13110.013;Administrador general explotación pecuaria
13110.014;Administrador granja integral
13110.016;Administrador o gerente de planta
13110.017;Agregado de finca
13110.018;Agricultor administrador agropecuario
13110.019;Agricultor empresario
13110.020;Director agronómico
13110.021;Director de calidad agropecuaria
13110.022;Director de cosecha
13110.023;Director de explotación forestal
13110.024;Director de hacienda
13110.025;Director de plantación
13110.026;Director de producción agropecuaria
13110.027;Director de producción avícola
13110.028;Director de vivero
